# JMH version: 1.36
# VM version: JDK 17.0.7, OpenJDK 64-Bit Server VM, 17.0.7+7
# VM invoker: /home/r_schwietzke/.sdkman/candidates/java/17.0.7-tem/bin/java
# VM options: -Xms2g -Xmx2g -XX:+UseSerialGC -XX:+AlwaysPreTouch -XX:+UseSerialGC
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 2 s each
# Measurement: 10 iterations, 2 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.xceptance.B05c_UnquotedWarmupAndQuotedTest.parse

# Run progress: 0.00% complete, ETA 00:06:30
# Fork: 1 of 15
# Warmup Iteration   1: 508.500 ns/op
# Warmup Iteration   2: 451.894 ns/op
# Warmup Iteration   3: 447.117 ns/op
Iteration   1: 696.897 ns/op
Iteration   2: 686.440 ns/op
Iteration   3: 686.527 ns/op
Iteration   4: 686.171 ns/op
Iteration   5: 687.529 ns/op
Iteration   6: 686.502 ns/op
Iteration   7: 685.432 ns/op
Iteration   8: 685.129 ns/op
Iteration   9: 685.846 ns/op
Iteration  10: 687.054 ns/op

# Run progress: 6.67% complete, ETA 00:06:21
# Fork: 2 of 15
# Warmup Iteration   1: 437.076 ns/op
# Warmup Iteration   2: 452.277 ns/op
# Warmup Iteration   3: 448.329 ns/op
Iteration   1: 699.902 ns/op
Iteration   2: 684.428 ns/op
Iteration   3: 684.348 ns/op
Iteration   4: 684.112 ns/op
Iteration   5: 685.701 ns/op
Iteration   6: 684.867 ns/op
Iteration   7: 684.236 ns/op
Iteration   8: 684.365 ns/op
Iteration   9: 683.938 ns/op
Iteration  10: 684.256 ns/op

# Run progress: 13.33% complete, ETA 00:05:53
# Fork: 3 of 15
# Warmup Iteration   1: 508.206 ns/op
# Warmup Iteration   2: 451.070 ns/op
# Warmup Iteration   3: 447.618 ns/op
Iteration   1: 709.760 ns/op
Iteration   2: 698.372 ns/op
Iteration   3: 697.878 ns/op
Iteration   4: 698.649 ns/op
Iteration   5: 701.295 ns/op
Iteration   6: 699.616 ns/op
Iteration   7: 698.261 ns/op
Iteration   8: 699.199 ns/op
Iteration   9: 698.627 ns/op
Iteration  10: 698.167 ns/op

# Run progress: 20.00% complete, ETA 00:05:26
# Fork: 4 of 15
# Warmup Iteration   1: 508.293 ns/op
# Warmup Iteration   2: 452.340 ns/op
# Warmup Iteration   3: 447.946 ns/op
Iteration   1: 696.821 ns/op
Iteration   2: 685.584 ns/op
Iteration   3: 685.812 ns/op
Iteration   4: 685.945 ns/op
Iteration   5: 686.778 ns/op
Iteration   6: 686.718 ns/op
Iteration   7: 685.932 ns/op
Iteration   8: 685.702 ns/op
Iteration   9: 685.557 ns/op
Iteration  10: 685.422 ns/op

# Run progress: 26.67% complete, ETA 00:04:59
# Fork: 5 of 15
# Warmup Iteration   1: 508.056 ns/op
# Warmup Iteration   2: 452.793 ns/op
# Warmup Iteration   3: 450.605 ns/op
Iteration   1: 700.442 ns/op
Iteration   2: 684.525 ns/op
Iteration   3: 684.721 ns/op
Iteration   4: 683.971 ns/op
Iteration   5: 685.289 ns/op
Iteration   6: 684.159 ns/op
Iteration   7: 684.306 ns/op
Iteration   8: 683.820 ns/op
Iteration   9: 684.520 ns/op
Iteration  10: 684.261 ns/op

# Run progress: 33.33% complete, ETA 00:04:31
# Fork: 6 of 15
# Warmup Iteration   1: 508.744 ns/op
# Warmup Iteration   2: 451.681 ns/op
# Warmup Iteration   3: 447.351 ns/op
Iteration   1: 697.027 ns/op
Iteration   2: 690.332 ns/op
Iteration   3: 685.475 ns/op
Iteration   4: 686.276 ns/op
Iteration   5: 686.969 ns/op
Iteration   6: 686.581 ns/op
Iteration   7: 685.896 ns/op
Iteration   8: 685.565 ns/op
Iteration   9: 686.543 ns/op
Iteration  10: 685.695 ns/op

# Run progress: 40.00% complete, ETA 00:04:04
# Fork: 7 of 15
# Warmup Iteration   1: 508.137 ns/op
# Warmup Iteration   2: 451.222 ns/op
# Warmup Iteration   3: 447.636 ns/op
Iteration   1: 703.840 ns/op
Iteration   2: 688.359 ns/op
Iteration   3: 688.469 ns/op
